,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Мечел ап,MTLRP,746,15028590.0,109.0,109.0,111.3,109.2,109.9,109.2,136760,109.9,109.9,109.2,15028590.0,15028590.0,15028590.0,
1,TQBR,2018-10-02,Мечел ап,MTLRP,1881,42436935.5,110.35,109.5,114.55,113.5,112.15,113.5,378390,112.15,112.15,113.5,42436935.5,42436935.5,42436935.5,
2,TQBR,2018-10-03,Мечел ап,MTLRP,1482,33514159.0,113.2,112.7,117.1,114.5,115.1,114.5,291130,115.1,115.1,114.5,33514159.0,33514159.0,33514159.0,
3,TQBR,2018-10-04,Мечел ап,MTLRP,1045,23528183.0,113.7,112.0,114.55,112.1,112.95,112.1,208280,112.95,112.95,112.1,23528183.0,23528183.0,23528183.0,
4,TQBR,2018-10-05,Мечел ап,MTLRP,1974,40289766.5,111.5,107.5,111.7,110.9,109.6,110.9,367580,109.6,109.6,110.9,40289766.5,40289766.5,40289766.5,
5,TQBR,2018-10-08,Мечел ап,MTLRP,550,11795914.0,111.0,109.25,111.95,110.7,110.8,110.7,106440,110.8,110.8,110.7,11795914.0,11795914.0,11795914.0,
6,TQBR,2018-10-09,Мечел ап,MTLRP,1443,27672758.0,110.7,110.0,112.95,111.05,111.7,111.05,247700,111.7,111.7,111.05,27672758.0,27672758.0,27672758.0,
7,TQBR,2018-10-10,Мечел ап,MTLRP,1156,20843385.0,111.0,108.5,111.1,108.5,109.9,108.5,189680,109.9,109.9,108.5,20843385.0,20843385.0,20843385.0,
8,TQBR,2018-10-11,Мечел ап,MTLRP,1975,59884756.0,105.95,103.3,106.8,104.9,104.55,104.9,572690,104.55,104.55,104.9,59884756.0,59884756.0,59884756.0,
9,TQBR,2018-10-12,Мечел ап,MTLRP,1218,21654104.0,105.5,105.2,108.95,107.8,107.25,107.8,201880,107.25,107.25,107.8,21654104.0,21654104.0,21654104.0,
10,TQBR,2018-10-15,Мечел ап,MTLRP,974,20146893.5,108.95,107.5,109.9,107.55,108.7,107.55,185310,108.7,108.7,107.55,20146893.5,20146893.5,20146893.5,
11,TQBR,2018-10-16,Мечел ап,MTLRP,517,8468935.5,107.3,107.3,109.05,108.6,108.35,108.6,78150,108.35,108.35,108.6,8468935.5,8468935.5,8468935.5,
12,TQBR,2018-10-17,Мечел ап,MTLRP,596,11549111.0,108.9,107.85,109.35,107.85,108.6,107.85,106360,108.6,108.6,107.85,11549111.0,11549111.0,11549111.0,
13,TQBR,2018-10-18,Мечел ап,MTLRP,862,13737591.5,107.85,105.6,108.7,105.8,107.1,105.8,128240,107.1,107.1,105.8,13737591.5,13737591.5,13737591.5,
14,TQBR,2018-10-19,Мечел ап,MTLRP,755,17518385.5,105.35,104.3,106.8,104.5,105.35,104.5,166310,105.35,105.35,104.5,17518385.5,17518385.5,17518385.5,
15,TQBR,2018-10-22,Мечел ап,MTLRP,1002,17904320.5,104.55,101.0,105.95,102.95,104.0,102.95,172160,104.0,104.0,102.95,17904320.5,17904320.5,17904320.5,
16,TQBR,2018-10-23,Мечел ап,MTLRP,1068,17630683.0,102.85,100.3,102.85,101.85,101.7,101.85,173360,101.7,101.7,101.85,17630683.0,17630683.0,17630683.0,
17,TQBR,2018-10-24,Мечел ап,MTLRP,2820,64628193.5,102.15,97.5,104.55,98.75,100.7,98.75,641820,100.7,100.7,98.75,64628193.5,64628193.5,64628193.5,
18,TQBR,2018-10-25,Мечел ап,MTLRP,2615,41676999.5,97.75,95.0,98.65,96.55,96.75,96.55,430710,96.75,96.75,96.55,41676999.5,41676999.5,41676999.5,
19,TQBR,2018-10-26,Мечел ап,MTLRP,1976,34334659.5,96.4,94.3,97.45,94.5,95.2,94.5,360570,95.2,95.2,94.5,34334659.5,34334659.5,34334659.5,
20,TQBR,2018-10-29,Мечел ап,MTLRP,1651,29763285.0,94.5,94.3,98.2,96.45,96.85,96.45,307270,96.85,96.85,96.45,29763285.0,29763285.0,29763285.0,
21,TQBR,2018-10-30,Мечел ап,MTLRP,1020,14536055.5,95.55,95.55,97.9,96.9,96.7,96.9,150340,96.7,96.7,96.9,14536055.5,14536055.5,14536055.5,
22,TQBR,2018-10-31,Мечел ап,MTLRP,1128,24512686.0,96.6,96.6,99.1,98.1,98.0,98.1,250100,98.0,98.0,98.1,24512686.0,24512686.0,24512686.0,
23,TQBR,2018-11-01,Мечел ап,MTLRP,677,11243764.5,97.5,97.2,98.0,97.2,97.5,97.2,115340,97.5,97.5,97.2,11243764.5,11243764.5,11243764.5,
24,TQBR,2018-11-02,Мечел ап,MTLRP,1072,27157202.5,97.5,97.5,99.05,98.3,98.6,98.3,275490,98.6,98.6,98.3,27157202.5,27157202.5,27157202.5,
25,TQBR,2018-11-06,Мечел ап,MTLRP,1097,20679837.5,99.0,98.55,101.0,100.8,100.1,100.8,206630,100.1,100.1,100.8,20679837.5,20679837.5,20679837.5,
26,TQBR,2018-11-07,Мечел ап,MTLRP,1092,24897619.5,101.0,99.45,101.95,99.45,100.6,99.45,247550,100.6,100.6,99.45,24897619.5,24897619.5,24897619.5,
27,TQBR,2018-11-08,Мечел ап,MTLRP,1137,21599809.5,101.0,98.0,101.0,98.1,99.35,98.1,217430,99.35,99.35,98.1,21599809.5,21599809.5,21599809.5,
28,TQBR,2018-11-09,Мечел ап,MTLRP,1126,19260168.5,98.0,97.25,99.4,97.3,98.05,97.3,196430,98.05,98.05,97.3,19260168.5,19260168.5,19260168.5,
29,TQBR,2018-11-12,Мечел ап,MTLRP,1105,31109969.5,97.55,97.55,100.4,100.0,99.45,100.0,312830,99.45,99.45,100.0,31109969.5,31109969.5,31109969.5,
30,TQBR,2018-11-13,Мечел ап,MTLRP,750,24173160.0,99.05,98.7,100.65,98.9,99.25,98.9,243530,99.25,99.25,98.9,24173160.0,24173160.0,24173160.0,
31,TQBR,2018-11-14,Мечел ап,MTLRP,1502,50127269.5,99.0,98.5,101.9,101.85,100.0,101.85,501170,100.0,100.0,101.85,50127269.5,50127269.5,50127269.5,
32,TQBR,2018-11-15,Мечел ап,MTLRP,4523,64031943.0,101.0,100.2,106.7,104.6,104.9,104.6,610270,104.9,104.9,104.6,64031943.0,64031943.0,64031943.0,
33,TQBR,2018-11-16,Мечел ап,MTLRP,2940,40197485.5,105.15,104.65,107.9,107.7,106.45,107.7,377700,106.45,106.45,107.7,40197485.5,40197485.5,40197485.5,
34,TQBR,2018-11-19,Мечел ап,MTLRP,1739,21689113.5,107.75,105.9,108.05,106.35,106.7,106.35,203310,106.7,106.7,106.35,21689113.5,21689113.5,21689113.5,
35,TQBR,2018-11-20,Мечел ап,MTLRP,3132,41676854.0,106.2,102.35,106.2,102.45,104.35,102.45,399440,104.35,104.35,102.45,41676854.0,41676854.0,41676854.0,
36,TQBR,2018-11-21,Мечел ап,MTLRP,2810,40031917.5,103.35,102.4,105.35,104.45,104.25,104.45,383980,104.25,104.25,104.45,40031917.5,40031917.5,40031917.5,
37,TQBR,2018-11-22,Мечел ап,MTLRP,1213,12567760.0,104.45,103.3,104.9,104.0,103.95,104.0,120900,103.95,103.95,104.0,12567760.0,12567760.0,12567760.0,
38,TQBR,2018-11-23,Мечел ап,MTLRP,1479,16989289.5,103.1,102.35,104.2,103.35,103.1,103.35,164800,103.1,103.1,103.35,16989289.5,16989289.5,16989289.5,
39,TQBR,2018-11-26,Мечел ап,MTLRP,2465,29854596.0,103.95,99.0,103.95,102.7,101.65,102.7,293770,101.65,101.65,102.7,29854596.0,29854596.0,29854596.0,
40,TQBR,2018-11-27,Мечел ап,MTLRP,7041,142697539.0,103.0,102.5,114.85,104.1,106.65,104.1,1337860,106.65,106.65,104.1,142697539.0,142697539.0,142697539.0,
41,TQBR,2018-11-28,Мечел ап,MTLRP,2686,41546895.5,103.1,103.1,106.35,104.65,105.05,104.65,395540,105.05,105.05,104.65,41546895.5,41546895.5,41546895.5,
42,TQBR,2018-11-29,Мечел ап,MTLRP,1550,18681178.0,105.4,104.1,105.55,104.15,104.8,104.15,178280,104.8,104.8,104.15,18681178.0,18681178.0,18681178.0,
43,TQBR,2018-11-30,Мечел ап,MTLRP,1061,11730144.5,104.05,103.95,104.9,104.4,104.45,104.4,112330,104.45,104.45,104.4,11730144.5,11730144.5,11730144.5,
44,TQBR,2018-12-03,Мечел ап,MTLRP,2337,35221167.5,105.0,102.9,105.5,104.4,104.2,104.4,337970,104.2,104.2,104.4,35221167.5,35221167.5,35221167.5,
45,TQBR,2018-12-04,Мечел ап,MTLRP,1345,14107219.0,104.4,102.8,104.4,103.6,103.5,103.6,136310,103.5,103.5,103.6,14107219.0,14107219.0,14107219.0,
46,TQBR,2018-12-05,Мечел ап,MTLRP,1339,16676333.0,103.5,101.0,104.75,104.6,103.9,104.6,160500,103.9,103.9,104.6,16676333.0,16676333.0,16676333.0,
47,TQBR,2018-12-06,Мечел ап,MTLRP,1336,15883234.0,104.0,103.05,105.0,103.9,103.9,103.9,152880,103.9,103.9,103.9,15883234.0,15883234.0,15883234.0,
48,TQBR,2018-12-07,Мечел ап,MTLRP,817,11237826.0,103.8,103.8,105.35,104.45,104.65,104.45,107390,104.65,104.65,104.45,11237826.0,11237826.0,11237826.0,
49,TQBR,2018-12-10,Мечел ап,MTLRP,735,6475630.0,104.0,103.3,104.75,103.75,103.9,103.75,62320,103.9,103.9,103.75,6475630.0,6475630.0,6475630.0,
50,TQBR,2018-12-11,Мечел ап,MTLRP,1906,16481927.5,103.8,101.9,104.4,102.0,102.95,102.0,160120,102.95,102.95,102.0,16481927.5,16481927.5,16481927.5,
