,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.52,0.07,,9.07,,0,,94.01,88.52,0.0,502945.9,0.0,2020-03-03,519,,,,,0.5,,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Лента 1 об,RU000A0JTR72,2,68914.5,88.35,88.5,88.35,88.35,0.08,88.35,9.23,88.5,78,,92.67,88.35,0.0,520830.5,0.0,2020-03-03,518,9.23,,,,0.5,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Лента 1 об,RU000A0JTR72,3,25606.9,88.29,88.3,88.3,88.3,0.08,88.3,9.3,88.3,29,,92.46,88.3,0.0,546437.4,0.0,2020-03-03,517,9.3,,,,0.5,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.3,0.08,,9.31,,0,,92.46,88.3,0.0,546437.4,0.0,2020-03-03,516,,,,,0.5,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.3,0.08,,9.33,,0,,92.46,88.3,0.0,546437.4,0.0,2020-03-03,515,,,,,0.5,,2018-10-03,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Лента 1 об,RU000A0JTR72,1,4416.5,88.33,88.33,88.33,88.33,0.09,88.33,9.36,88.33,5,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,512,9.36,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.1,,9.38,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,511,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.1,,9.4,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,510,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.1,,9.42,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,509,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.1,,9.44,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,508,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
10,EQOB,2018-10-15,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.11,,9.5,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,505,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
11,EQOB,2018-10-16,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.12,,9.52,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,504,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
12,EQOB,2018-10-17,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.12,,9.54,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,503,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
13,EQOB,2018-10-18,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.12,,9.56,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,502,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
14,EQOB,2018-10-19,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.12,,9.58,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,501,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
15,EQOB,2018-10-22,Лента 1 об,RU000A0JTR72,0,0.0,,,,88.33,0.13,,9.64,,0,,91.73,88.33,0.0,500853.9,0.0,2020-03-03,498,,,,,0.5,,2018-10-08,1000,SUR,,,,,RUB
