,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Русполимет,RUSP,12,67620,0.47200000000000003,0.47200000000000003,0.49200000000000005,0.488,0.483,0.488,140000,,0.485,0.488,0,513610,0,
1,TQBR,2018-10-02,Русполимет,RUSP,20,133690,0.488,0.484,0.5,0.485,0.495,0.485,270000,,0.486,0.485,0,519800,0,
2,TQBR,2018-10-03,Русполимет,RUSP,58,969790,0.48,0.479,0.501,0.496,0.495,0.496,1960000,0.495,0.495,0.496,969790,969790,969790,
3,TQBR,2018-10-04,Русполимет,RUSP,11,92980,0.49,0.484,0.498,0.486,0.489,0.484,190000,,0.495,0.486,0,515020,0,
4,TQBR,2018-10-05,Русполимет,RUSP,388,4785150,0.49700000000000005,0.496,0.564,0.563,0.5429999999999999,0.563,8820000,0.5429999999999999,0.5429999999999999,0.563,4785150,4785150,4785150,
5,TQBR,2018-10-08,Русполимет,RUSP,1220,14177200,0.568,0.544,0.7440000000000001,0.59,0.634,0.58,22360000,0.634,0.634,0.59,14177200,14177200,14177200,
6,TQBR,2018-10-09,Русполимет,RUSP,435,5122330,0.57,0.5329999999999999,0.6,0.5379999999999999,0.556,0.5379999999999999,9220000,0.556,0.556,0.5379999999999999,5122330,5122330,5122330,
7,TQBR,2018-10-10,Русполимет,RUSP,95,1257660,0.536,0.515,0.542,0.52,0.524,0.52,2400000,0.524,0.524,0.52,1257660,1257660,1257660,
8,TQBR,2018-10-11,Русполимет,RUSP,46,498810,0.514,0.484,0.514,0.5,0.499,0.5,1000000,,0.499,0.5,0,504010,0,
9,TQBR,2018-10-12,Русполимет,RUSP,42,394070,0.489,0.489,0.509,0.49200000000000005,0.499,0.49200000000000005,790000,,0.499,0.49200000000000005,0,504110,0,
10,TQBR,2018-10-15,Русполимет,RUSP,42,563650,0.489,0.484,0.49700000000000005,0.491,0.49,0.49200000000000005,1150000,0.49,0.49,0.491,563650,563650,563650,
11,TQBR,2018-10-16,Русполимет,RUSP,210,2023440,0.502,0.499,0.56,0.53,0.532,0.53,3800000,0.532,0.532,0.53,2023440,2023440,2023440,
12,TQBR,2018-10-17,Русполимет,RUSP,622,9320540,0.5489999999999999,0.544,0.65,0.5920000000000001,0.598,0.5920000000000001,15590000,0.598,0.598,0.5920000000000001,9320540,9320540,9320540,
13,TQBR,2018-10-18,Русполимет,RUSP,111,1355500,0.594,0.565,0.635,0.589,0.602,0.589,2250000,0.602,0.602,0.589,1355500,1355500,1355500,
14,TQBR,2018-10-19,Русполимет,RUSP,29,266130,0.5670000000000001,0.5579999999999999,0.593,0.561,0.5660000000000001,0.561,470000,,0.5710000000000001,0.561,0,502410,0,
15,TQBR,2018-10-22,Русполимет,RUSP,38,560740,0.563,0.53,0.563,0.535,0.544,0.535,1030000,0.544,0.544,0.535,560740,560740,560740,
16,TQBR,2018-10-23,Русполимет,RUSP,24,334730,0.531,0.526,0.536,0.526,0.531,0.526,630000,,0.534,0.526,0,502060,0,
17,TQBR,2018-10-24,Русполимет,RUSP,70,1228020,0.544,0.5329999999999999,0.5920000000000001,0.583,0.574,0.579,2140000,0.574,0.574,0.583,1228020,1228020,1228020,
18,TQBR,2018-10-25,Русполимет,RUSP,50,581860,0.5710000000000001,0.56,0.595,0.575,0.5760000000000001,0.58,1010000,0.5760000000000001,0.5760000000000001,0.575,581860,581860,581860,
19,TQBR,2018-10-26,Русполимет,RUSP,26,317620,0.594,0.5479999999999999,0.594,0.5589999999999999,0.557,0.5589999999999999,570000,,0.563,0.5589999999999999,0,534810,0,
20,TQBR,2018-10-29,Русполимет,RUSP,49,640120,0.5489999999999999,0.546,0.593,0.5770000000000001,0.5770000000000001,0.583,1110000,0.5770000000000001,0.5770000000000001,0.5770000000000001,640120,640120,640120,
21,TQBR,2018-10-30,Русполимет,RUSP,85,1096030,0.591,0.5589999999999999,0.62,0.565,0.589,0.565,1860000,0.589,0.589,0.565,1096030,1096030,1096030,
22,TQBR,2018-10-31,Русполимет,RUSP,41,380590,0.5579999999999999,0.556,0.59,0.5710000000000001,0.568,0.5710000000000001,670000,,0.5670000000000001,0.5710000000000001,0,510190,0,
23,TQBR,2018-11-01,Русполимет,RUSP,24,316100,0.586,0.5579999999999999,0.586,0.564,0.575,0.5579999999999999,550000,,0.574,0.564,0,505430,0,
24,TQBR,2018-11-02,Русполимет,RUSP,19,308220,0.535,0.535,0.578,0.563,0.56,0.563,550000,,0.565,0.563,0,508070,0,
25,TQBR,2018-11-06,Русполимет,RUSP,11,146330,0.568,0.5589999999999999,0.573,0.562,0.563,0.562,260000,,0.562,0.562,0,505460,0,
26,TQBR,2018-11-07,Русполимет,RUSP,20,269650,0.5660000000000001,0.539,0.574,0.539,0.55,0.539,490000,,0.556,0.539,0,544850,0,
27,TQBR,2018-11-08,Русполимет,RUSP,32,290070,0.542,0.53,0.563,0.535,0.537,0.535,540000,,0.542,0.535,0,514690,0,
28,TQBR,2018-11-09,Русполимет,RUSP,26,210960,0.525,0.52,0.54,0.5379999999999999,0.527,0.539,400000,,0.5329999999999999,0.5379999999999999,0,501030,0,
29,TQBR,2018-11-12,Русполимет,RUSP,25,240240,0.54,0.526,0.561,0.54,0.546,0.54,440000,,0.537,0.54,0,510490,0,
30,TQBR,2018-11-13,Русполимет,RUSP,13,89440,0.528,0.518,0.545,0.522,0.526,0.534,170000,,0.536,0.522,0,503890,0,
31,TQBR,2018-11-14,Русполимет,RUSP,25,322030,0.5489999999999999,0.51,0.5489999999999999,0.528,0.528,0.524,610000,,0.53,0.528,0,514000,0,
32,TQBR,2018-11-15,Русполимет,RUSP,9,52730,0.54,0.515,0.54,0.521,0.527,0.515,100000,,0.528,0.521,0,501660,0,
33,TQBR,2018-11-16,Русполимет,RUSP,20,165680,0.529,0.51,0.537,0.52,0.518,0.52,320000,,0.525,0.52,0,540440,0,
34,TQBR,2018-11-19,Русполимет,RUSP,17,107220,0.516,0.504,0.516,0.515,0.511,0.515,210000,,0.519,0.515,0,503450,0,
35,TQBR,2018-11-20,Русполимет,RUSP,29,209720,0.512,0.511,0.535,0.513,0.524,0.511,400000,,0.519,0.513,0,503320,0,
36,TQBR,2018-11-21,Русполимет,RUSP,9,93200,0.521,0.512,0.524,0.524,0.518,0.524,180000,,0.518,0.524,0,518010,0,
37,TQBR,2018-11-22,Русполимет,RUSP,5,26130,0.524,0.511,0.527,0.519,0.523,0.511,50000,,0.518,0.519,0,502760,0,
38,TQBR,2018-11-23,Русполимет,RUSP,3,15340,0.513,0.508,0.513,0.513,0.511,0.513,30000,,0.518,0.513,0,507880,0,
39,TQBR,2018-11-26,Русполимет,RUSP,18,114950,0.507,0.49200000000000005,0.513,0.513,0.5,0.513,230000,,0.515,0.513,0,504960,0,
40,TQBR,2018-11-27,Русполимет,RUSP,0,0,,,,0.513,,,0,,0.515,0.513,0,504960,0,
41,TQBR,2018-11-28,Русполимет,RUSP,8,50840,0.514,0.501,0.514,0.51,0.508,0.51,100000,,0.515,0.51,0,505060,0,
