history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ЛСР БО 1Р3;RU000A0ZYBV5;3;60757.4;99.6;99.74;99.6;99.6;22.19;99.6;9.45;99.74;61;;99.61;99.6;0;1689457.7;0;2022-09-27;1095;9.45;;;;22.44;;2018-10-01;1000;SUR;;;;;RUB
EQOB;2018-10-02;ЛСР БО 1Р3;RU000A0ZYBV5;12;145521.7;99.29;99.7;99.7;99.7;0;99.67;9.42;99.7;146;;99.49;99.7;0;513342.6;0;2022-09-27;1118;9.43;;;;22.44;;2018-10-02;1000;SUR;;;;;RUB
EQOB;2018-10-03;ЛСР БО 1Р3;RU000A0ZYBV5;12;2022421;99.4;99.65;99.65;99.65;0.25;99.53;9.43;99.4;2032;99.53;99.53;99.65;2022421;2022421;2022421;2022-09-27;1117;9.48;;;;22.44;;2018-10-03;1000;SUR;;;;;RUB
EQOB;2018-10-04;ЛСР БО 1Р3;RU000A0ZYBV5;2;17990;99.9;100;100;100;0.49;99.94;9.31;99.9;18;99.53;99.56;100;2040411;1315212.5;2040411;2022-09-27;1117;9.33;;;;22.44;;2018-10-04;1000;SUR;;;;;RUB
EQOB;2018-10-05;ЛСР БО 1Р3;RU000A0ZYBV5;5;52969.2;99.56;100;100;100;0.74;99.94;9.31;100;53;99.54;99.68;100;2093380.2;788439.2;2093380.2;2022-09-27;1116;9.33;;;;22.44;;2018-10-05;1000;SUR;;;;;RUB
EQOB;2018-10-08;ЛСР БО 1Р3;RU000A0ZYBV5;6;134985.3;99.98;99.99;99.99;99.99;1.48;99.99;9.31;99.98;135;;99.72;99.99;0;909473.5;0;2022-09-27;1113;9.31;;;;22.44;;2018-10-08;1000;SUR;;;;;RUB
EQOB;2018-10-09;ЛСР БО 1Р3;RU000A0ZYBV5;6;85703.4;99.5;99.99;99.99;99.99;1.73;99.66;9.31;99.85;86;;99.72;99.99;0;995176.9;0;2022-09-27;1111;9.43;;;;22.44;;2018-10-09;1000;SUR;;;;;RUB
EQOB;2018-10-10;ЛСР БО 1Р3;RU000A0ZYBV5;15;498366.1;99.45;99.75;99.75;99.75;1.97;99.47;9.4;99.75;501;;99.48;99.75;0;507326;0;2022-09-27;1110;9.5;;;;22.44;;2018-10-10;1000;SUR;;;;;RUB
EQOB;2018-10-11;ЛСР БО 1Р3;RU000A0ZYBV5;1;54862.5;99.75;99.75;99.75;99.75;2.22;99.75;9.4;99.75;55;99.5;99.5;99.75;553228.6;522375.1;553228.6;2022-09-27;1109;9.4;;;;22.44;;2018-10-11;1000;SUR;;;;;RUB
EQOB;2018-10-12;ЛСР БО 1Р3;RU000A0ZYBV5;10;3685220.6;99.4;100;100;100;2.47;99.52;9.31;99.75;3703;99.52;99.52;100;3685220.6;3685220.6;3685220.6;2022-09-27;1108;9.48;;;;22.44;;2018-10-12;1000;SUR;;;;;RUB
