,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,ЯНАО-2016,RU000A0JX0Z8,7,110666.2,102.1,102.49,102.49,102.49,6.67,102.47,8.09,102.1,108,,102.12,102.49,0.0,504477.5,0.0,2023-12-06,608,8.1,,,,23.36,,2018-10-01,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,ЯНАО-2016,RU000A0JX0Z8,4,247163.8,102.1,102.49,102.1,102.1,6.93,102.13,8.33,102.48,242,,102.25,102.1,0.0,514298.1,0.0,2023-12-06,605,8.31,,,,23.36,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,ЯНАО-2016,RU000A0JX0Z8,6,101013.5,101.0,102.24,102.24,102.24,7.19,101.01,8.24,101.01,100,,102.04,102.24,0.0,505088.4,0.0,2023-12-06,599,9.03,,,,23.36,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,ЯНАО-2016,RU000A0JX0Z8,0,0.0,,,,102.24,7.44,,8.24,,0,,102.04,102.24,0.0,505088.4,0.0,2023-12-06,603,,,,,23.36,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,ЯНАО-2016,RU000A0JX0Z8,5,130856.8,101.8,102.25,102.25,102.25,7.7,102.23,8.23,101.8,128,,102.01,102.25,0.0,562051.0,0.0,2023-12-06,603,8.25,,,,23.36,,2018-10-05,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,ЯНАО-2016,RU000A0JX0Z8,2,2045.9,102.0,102.59,102.0,102.0,8.47,102.3,8.39,102.59,2,,102.01,102.0,0.0,564096.9,0.0,2023-12-06,600,8.19,,,,23.36,,2018-10-08,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,ЯНАО-2016,RU000A0JX0Z8,3,54885.5,101.22,101.81,101.8,101.8,8.73,101.64,8.51,101.22,54,,101.87,101.8,0.0,514442.7,0.0,2023-12-06,596,8.62,,,,23.36,,2018-10-09,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,ЯНАО-2016,RU000A0JX0Z8,4,59504.4,102.59,102.6,102.6,102.6,8.98,102.59,8.0,102.59,58,,101.94,102.6,0.0,552506.1,0.0,2023-12-06,600,8.01,,,,23.36,,2018-10-10,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,ЯНАО-2016,RU000A0JX0Z8,5,178439.0,102.54,102.6,102.54,102.54,9.24,102.55,8.03,102.6,174,,102.1,102.54,0.0,518664.3,0.0,2023-12-06,598,8.03,,,,23.36,,2018-10-11,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,ЯНАО-2016,RU000A0JX0Z8,4,19043189.0,102.3,102.4,102.35,102.35,9.5,102.35,8.15,102.4,18606,102.35,102.35,102.35,19281132.4,19240096.0,19281132.4,2023-12-06,597,8.15,,,,23.36,,2018-10-12,1000,SUR,,,,,RUB
