history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;АВТОБАН-Ф1;RU000A0JWM49;0;0;;;;102.95;36.44;;9.93;;0;;102.55;102.95;0;2363852.1;0;2021-06-24;257;;;;;69.81;2019-06-27;2018-09-27;1000;SUR;;9.981;;2019-07-02;RUB
EQOB;2018-10-02;АВТОБАН-Ф1;RU000A0JWM49;0;0;;;;102.95;36.82;;9.92;;0;;102.55;102.95;0;2363852.1;0;2021-06-24;256;;;;;69.81;2019-06-27;2018-09-27;1000;SUR;;10.0212;;2019-07-02;RUB
EQOB;2018-10-03;АВТОБАН-Ф1;RU000A0JWM49;1;1029.5;102.95;102.95;102.95;102.95;37.21;102.95;9.9;102.95;1;;102.55;102.95;0;2364881.6;0;2021-06-24;255;9.9;;;;69.81;2019-06-27;2018-10-03;1000;SUR;;9.7268;;2019-07-02;RUB
EQOB;2018-10-04;АВТОБАН-Ф1;RU000A0JWM49;0;0;;;;102.95;37.59;;9.89;;0;;102.55;102.95;0;2364881.6;0;2021-06-24;254;;;;;69.81;2019-06-27;2018-10-03;1000;SUR;;9.7662;;2019-07-02;RUB
EQOB;2018-10-05;АВТОБАН-Ф1;RU000A0JWM49;2;20440;102;102.4;102;102;37.97;102.2;11.29;102.4;20;;102.55;102;0;2385321.6;0;2021-06-24;253;10.99;;;;69.81;2019-06-27;2018-10-05;1000;SUR;;11.093;;2019-07-02;RUB
EQOB;2018-10-08;АВТОБАН-Ф1;RU000A0JWM49;3;2041020;102;102;102;102;39.12;102;11.26;102;2001;;102.04;102;0;2143820;0;2021-06-24;250;11.26;;;;69.81;2019-06-27;2018-10-08;1000;SUR;;11.0577;;2019-07-02;RUB
EQOB;2018-10-09;АВТОБАН-Ф1;RU000A0JWM49;1;51025;102.05;102.05;102.05;102.05;39.51;102.05;11.17;102.05;50;;102.02;102.05;0;2145429;0;2021-06-24;249;11.17;;;;69.81;2019-06-27;2018-10-09;1000;SUR;;10.9694;;2019-07-02;RUB
EQOB;2018-10-10;АВТОБАН-Ф1;RU000A0JWM49;0;0;;;;102.05;39.89;;11.16;;0;;102.02;102.05;0;2145429;0;2021-06-24;248;;;;;69.81;2019-06-27;2018-10-09;1000;SUR;;11.0151;;2019-07-02;RUB
EQOB;2018-10-11;АВТОБАН-Ф1;RU000A0JWM49;1;2060;103;103;103;102.05;40.27;103;9.7;103;2;;102.01;102.05;0;2137194;0;2021-06-24;247;9.7;;;;69.81;2019-06-27;2018-10-11;1000;SUR;;9.5206;;2019-07-02;RUB
EQOB;2018-10-12;АВТОБАН-Ф1;RU000A0JWM49;1;103275;101.25;101.25;101.25;101.25;40.66;101.25;12.39;101.25;102;;101.97;101.25;0;2219879;0;2021-06-24;246;12.39;;;;69.81;2019-06-27;2018-10-12;1000;SUR;;12.1618;;2019-07-02;RUB
