,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL
0,TQBR,2018-10-01,Татнфт 3ап,TATNP,8365,486100298,575.1,562.5,589.7,576.3,578.6,576.3,839310,579.2,579.2,576.3,486100298,486100298,486100298,
1,TQBR,2018-10-02,Татнфт 3ап,TATNP,2367,167292200,582.2,570.0,582.9,571.5,575.9,571.5,290490,575.9,575.9,571.5,167292200,167292200,167292200,
2,TQBR,2018-10-03,Татнфт 3ап,TATNP,4354,433487154,571.0,571.0,589.5,586.9,581.1,586.9,745550,581.4,581.4,586.9,433487154,433487154,433487154,
3,TQBR,2018-10-04,Татнфт 3ап,TATNP,6256,711448163,589.8,575.0,593.5,579.6,582.8,579.6,1219200,583.5,583.5,579.6,711448163,711448163,711448163,
4,TQBR,2018-10-05,Татнфт 3ап,TATNP,1954,180202927,580.0,575.0,583.0,577.6,577.0,577.6,312300,577.0,577.0,577.6,180202927,180202927,180202927,
5,TQBR,2018-10-08,Татнфт 3ап,TATNP,3645,332640915,577.6,576.2,596.6,589.9,587.3,589.9,566420,587.3,587.3,589.9,332640915,332640915,332640915,
6,TQBR,2018-10-09,Татнфт 3ап,TATNP,4118,399322459,593.0,581.7,597.3,588.3,589.5,588.3,677460,589.4,589.4,588.3,399322459,399322459,399322459,
7,TQBR,2018-10-10,Татнфт 3ап,TATNP,4689,385748742,585.0,575.8,588.5,578.0,580.5,578.0,664520,580.5,580.5,578.0,385748742,385748742,385748742,
8,TQBR,2018-10-11,Татнфт 3ап,TATNP,5364,465464318,545.0,538.6,567.4,560.2,548.1,560.2,849180,548.1,548.1,560.2,465464318,465464318,465464318,
9,TQBR,2018-10-12,Татнфт 3ап,TATNP,2696,193352216,554.4,554.4,571.2,565.0,562.7,565.0,343450,563.0,563.0,565.0,193352216,193352216,193352216,
10,TQBR,2018-10-15,Татнфт 3ап,TATNP,2377,240327716,569.0,555.0,569.2,562.0,562.6,562.0,427140,562.6,562.6,562.0,240327716,240327716,240327716,
11,TQBR,2018-10-16,Татнфт 3ап,TATNP,1652,158749895,562.0,554.3,565.5,555.0,556.8,555.0,285130,556.8,556.8,555.0,158749895,158749895,158749895,
12,TQBR,2018-10-17,Татнфт 3ап,TATNP,1573,115937173,557.8,545.8,561.0,550.0,552.6,550.0,209790,552.6,552.6,550.0,115937173,115937173,115937173,
13,TQBR,2018-10-18,Татнфт 3ап,TATNP,942,75454210,547.0,546.6,553.8,550.0,550.4,550.0,137100,550.4,550.4,550.0,75454210,75454210,75454210,
14,TQBR,2018-10-19,Татнфт 3ап,TATNP,1110,57818529,550.2,547.5,554.8,549.6,550.7,549.6,105000,550.7,550.7,549.6,57818529,57818529,57818529,
15,TQBR,2018-10-22,Татнфт 3ап,TATNP,1021,82671123,550.9,546.5,553.0,551.0,551.0,551.0,150050,551.0,551.0,551.0,82671123,82671123,82671123,
16,TQBR,2018-10-23,Татнфт 3ап,TATNP,2232,253412455,549.9,536.0,562.0,555.9,554.0,555.9,458820,552.3,552.3,555.9,253412455,253412455,253412455,
17,TQBR,2018-10-24,Татнфт 3ап,TATNP,1410,102971934,559.0,548.6,560.1,550.1,552.8,550.1,186270,552.8,552.8,550.1,102971934,102971934,102971934,
18,TQBR,2018-10-25,Татнфт 3ап,TATNP,1680,87501335,546.4,542.4,549.0,548.5,546.5,548.5,160100,546.5,546.5,548.5,87501335,87501335,87501335,
19,TQBR,2018-10-26,Татнфт 3ап,TATNP,2368,113900484,548.6,527.1,551.3,532.2,536.4,532.2,212340,536.4,536.4,532.2,113900484,113900484,113900484,
20,TQBR,2018-10-29,Татнфт 3ап,TATNP,1949,88516353,538.1,521.4,538.1,527.0,527.1,527.0,167970,527.0,527.0,527.0,88516353,88516353,88516353,
21,TQBR,2018-10-30,Татнфт 3ап,TATNP,2803,211637280,527.0,512.5,528.9,517.0,523.2,517.0,404470,523.2,523.2,517.0,211637280,211637280,211637280,
22,TQBR,2018-10-31,Татнфт 3ап,TATNP,3110,157757541,517.2,517.1,530.0,526.0,527.8,526.0,298890,527.8,527.8,526.0,157757541,157757541,157757541,
23,TQBR,2018-11-01,Татнфт 3ап,TATNP,2227,129337246,526.1,520.2,529.1,526.0,525.8,526.0,246270,525.2,525.2,526.0,129337246,129337246,129337246,
24,TQBR,2018-11-02,Татнфт 3ап,TATNP,1627,128487162,528.0,524.2,530.0,527.0,527.1,527.0,243780,527.1,527.1,527.0,128487162,128487162,128487162,
25,TQBR,2018-11-06,Татнфт 3ап,TATNP,3123,297123002,528.0,490.7,541.8,537.6,535.1,537.6,555240,535.1,535.1,537.6,297123002,297123002,297123002,
26,TQBR,2018-11-07,Татнфт 3ап,TATNP,1590,112131044,540.6,537.0,543.7,543.0,540.5,543.0,207440,540.5,540.5,543.0,112131044,112131044,112131044,
27,TQBR,2018-11-08,Татнфт 3ап,TATNP,2222,221334660,547.9,545.5,559.2,556.0,553.1,556.0,399890,553.5,553.5,556.0,221334660,221334660,221334660,
28,TQBR,2018-11-09,Татнфт 3ап,TATNP,1491,112082247,556.0,545.1,558.7,553.2,551.8,553.2,203280,551.4,551.4,553.2,112082247,112082247,112082247,
29,TQBR,2018-11-12,Татнфт 3ап,TATNP,2938,201371835,554.1,550.5,568.5,562.8,563.4,562.8,357640,563.1,563.1,562.8,201371835,201371835,201371835,
