,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT
0,EQOB,2018-10-01,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.4,0.29,,7.87,,0,,102.19,101.4,0.0,26020259.0,0.0,2019-03-30,178,,,,,26.35,,2018-09-28,1000,SUR,,,,,RUB
1,EQOB,2018-10-02,Дельта17ИП,RU000A0JWBN0,1,274387.5,101.25,101.25,101.25,101.25,0.58,101.25,8.18,101.25,271,,101.15,101.25,0.0,512827.0,0.0,2019-03-30,177,8.18,,,,26.35,,2018-10-02,1000,SUR,,,,,RUB
2,EQOB,2018-10-03,Дельта17ИП,RU000A0JWBN0,2,26038226.8,101.32,101.32,101.32,101.32,0.87,101.32,8.01,101.32,25699,101.32,101.32,101.32,26374473.8,26365343.3,26374473.8,2019-03-30,176,8.01,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
3,EQOB,2018-10-04,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,1.16,,8.0,,0,101.32,101.32,101.32,26374473.8,26365343.3,26374473.8,2019-03-30,175,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
4,EQOB,2018-10-05,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,1.45,,7.98,,0,101.32,101.32,101.32,26374473.8,26365343.3,26374473.8,2019-03-30,174,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
5,EQOB,2018-10-08,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,2.32,,7.93,,0,101.32,101.32,101.32,26373459.3,26365343.3,26373459.3,2019-03-30,171,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
6,EQOB,2018-10-09,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,2.61,,7.91,,0,,101.32,101.32,0.0,26365343.3,0.0,2019-03-30,170,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
7,EQOB,2018-10-10,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,2.9,,7.89,,0,,101.32,101.32,0.0,26365343.3,0.0,2019-03-30,169,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
8,EQOB,2018-10-11,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,3.19,,7.87,,0,,101.32,101.32,0.0,26365343.3,0.0,2019-03-30,168,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
9,EQOB,2018-10-12,Дельта17ИП,RU000A0JWBN0,0,0.0,,,,101.32,3.48,,7.85,,0,,101.32,101.32,0.0,26365343.3,0.0,2019-03-30,167,,,,,26.35,,2018-10-03,1000,SUR,,,,,RUB
