history

BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT
EQOB;2018-10-01;ВолгКапПБ1;RU000A0JXUU3;2;12610;97;97;97;97;21.19;97;10.68;97;13;;98.11;97;0;7632766;0;2022-06-27;593;10.68;;;;42.38;2020-06-29;2018-10-01;1000;SUR;;10.6297;;2020-07-02;RUB
EQOB;2018-10-02;ВолгКапПБ1;RU000A0JXUU3;2;17126837.5;97.45;97.45;97.45;97.45;21.42;97.45;10.37;97.45;17575;97.65;97.65;97.45;24756813.5;24756813.5;24756813.5;2022-06-27;592;10.37;;;;42.38;2020-06-29;2018-10-02;1000;SUR;;10.3256;;2020-07-02;RUB
EQOB;2018-10-03;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.45;21.66;;10.37;;0;97.65;97.65;97.45;24756813.5;24756813.5;24756813.5;2022-06-27;591;;;;;42.38;2020-06-29;2018-10-02;1000;SUR;;10.3438;;2020-07-02;RUB
EQOB;2018-10-04;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.45;21.89;;10.38;;0;97.65;97.65;97.45;24756813.5;24756813.5;24756813.5;2022-06-27;590;;;;;42.38;2020-06-29;2018-10-02;1000;SUR;;10.3622;;2020-07-02;RUB
EQOB;2018-10-05;ВолгКапПБ1;RU000A0JXUU3;2;17140867;97.3;97.48;97.48;97.48;22.12;97.48;10.36;97.3;17584;97.51;97.47;97.48;39898284.5;38278782;39898284.5;2022-06-27;589;10.36;;;;42.38;2020-06-29;2018-10-05;1000;SUR;;10.3122;;2020-07-02;RUB
EQOB;2018-10-08;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.48;22.82;;10.37;;0;;97.47;97.48;0;38278782;0;2022-06-27;586;;;;;42.38;2020-06-29;2018-10-05;1000;SUR;;10.3674;;2020-07-02;RUB
EQOB;2018-10-09;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.48;23.05;;10.37;;0;;97.47;97.48;0;38278782;0;2022-06-27;585;;;;;42.38;2020-06-29;2018-10-05;1000;SUR;;10.386;;2020-07-02;RUB
EQOB;2018-10-10;ВолгКапПБ1;RU000A0JXUU3;2;984548;97.48;97.48;97.48;97.48;23.29;97.48;10.37;97.48;1010;;97.46;97.48;0;38868550;0;2022-06-27;584;10.37;;;;42.38;2020-06-29;2018-10-10;1000;SUR;;10.324;;2020-07-02;RUB
EQOB;2018-10-11;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.48;23.52;;10.37;;0;;97.46;97.48;0;38868550;0;2022-06-27;583;;;;;42.38;2020-06-29;2018-10-10;1000;SUR;;10.3425;;2020-07-02;RUB
EQOB;2018-10-12;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.48;23.75;;10.38;;0;;97.46;97.48;0;38868550;0;2022-06-27;582;;;;;42.38;2020-06-29;2018-10-10;1000;SUR;;10.3611;;2020-07-02;RUB
EQOB;2018-10-15;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.48;24.45;;10.38;;0;;97.46;97.48;0;38868550;0;2022-06-27;579;;;;;42.38;2020-06-29;2018-10-10;1000;SUR;;10.4172;;2020-07-02;RUB
EQOB;2018-10-16;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;97.48;24.68;;10.39;;0;;97.46;97.48;0;38868550;0;2022-06-27;578;;;;;42.38;2020-06-29;2018-10-10;1000;SUR;;10.4361;;2020-07-02;RUB
EQOB;2018-10-17;ВолгКапПБ1;RU000A0JXUU3;1;76258.7;96.53;96.53;96.53;96.53;24.92;96.53;11.06;96.53;79;;97.46;96.53;0;35344031.2;0;2022-06-27;577;11.06;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;11.0072;;2020-07-02;RUB
EQOB;2018-10-18;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;25.15;;11.06;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;576;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;11.0272;;2020-07-02;RUB
EQOB;2018-10-19;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;25.38;;11.07;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;575;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;11.0474;;2020-07-02;RUB
EQOB;2018-10-22;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;26.08;;11.08;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;572;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-23;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;26.32;;11.08;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;571;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-24;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;26.55;;11.08;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;570;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-25;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;26.78;;11.09;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;569;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-26;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;27.01;;11.09;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;568;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-29;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;27.71;;11.1;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;565;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-30;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;27.95;;11.11;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;564;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-10-31;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;28.18;;11.11;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;563;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-11-01;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;28.41;;11.12;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;562;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
EQOB;2018-11-02;ВолгКапПБ1;RU000A0JXUU3;0;0;;;;96.53;28.64;;11.12;;0;;97.46;96.53;0;35344031.2;0;2022-06-27;561;;;;;42.38;2020-06-29;2018-10-17;1000;SUR;;;;;RUB
